item,support,count
mineral water,0.238266667,1787
eggs,0.179733333,1348
spaghetti,0.174133333,1306
french fries,0.170933333,1282
chocolate,0.163866667,1229
green tea,0.132,990
milk,0.1296,972
ground beef,0.098266667,737
frozen vegetables,0.095333333,715
pancakes,0.095066667,713
burgers,0.0872,654
cake,0.081066667,608
cookies,0.0804,603
escalope,0.079333333,595
low fat yogurt,0.0764,573
shrimp,0.071333333,535
tomatoes,0.0684,513
olive oil,0.065733333,493
frozen smoothie,0.0632,474
turkey,0.062533333,469
chicken,0.06,450
whole wheat rice,0.058533333,439
grated cheese,0.0524,393
cooking oil,0.051066667,383
soup,0.050533333,379
