,LB,AC,FM,UC,DL,DS,DP,ASTV,MSTV,ALTV,MLTV,Width,Tendency,NSP
LB,1.0,-0.06445235625821555,0.018810129905973503,-0.16701188279944937,-0.12698060083726015,-0.005438555397486781,-0.0477261736353767,0.2424352671936304,-0.1701343124564911,0.21095542771025952,-0.003224548284617804,-0.11837525518601848,0.23711182767334715,0.13200792468181302
AC,-0.06445235625821555,1.0,0.01012661653390399,0.06982046165454538,-0.09562588858350093,-0.03363151333540703,-0.08464436724171583,-0.23111403249445975,0.1270101288670332,-0.2740550378507849,-0.10630819294049276,0.2384223984114953,0.032399283348128166,-0.31711328238321906
FM,0.018810129905973503,0.01012661653390399,1.0,-0.05313917834571572,0.009752814241206937,0.029898888059663297,0.12125860183794374,-0.03293141410764904,0.017487821900050358,-0.01234540743297277,-0.006156744657622673,0.09713291707932116,-0.018409814744032464,0.07399703474169528
UC,-0.16701188279944937,0.06982046165454538,-0.05313917834571572,1.0,0.19147290262873085,-0.006957066217958753,0.07050401449578556,-0.1823578461181644,0.1902946586719822,-0.22839887788072277,-0.04886230005517233,0.10678665276495207,-0.06709795005845512,-0.18595348305920403
DL,-0.12698060083726015,-0.09562588858350093,0.009752814241206937,0.19147290262873085,1.0,0.05862457855450676,0.1453378930799456,-0.07134215499644515,0.41027036642727427,-0.18688163534353663,-0.1654935421546792,0.4097929685458607,-0.023838403148871413,0.025179190906211502
DS,-0.005438555397486781,-0.03363151333540703,0.029898888059663297,-0.006957066217958753,0.05862457855450676,1.0,0.004281597761455789,0.008440596452396863,0.01616523864635212,-0.004406215268570068,0.03436607749118299,0.04083111774867898,-0.015407811095220143,0.06539938660999636
DP,-0.0477261736353767,-0.08464436724171583,0.12125860183794374,0.07050401449578556,0.1453378930799456,0.004281597761455789,1.0,0.038075956512281975,0.11991121685173668,-0.07786471321323492,-0.11399335030689825,0.17524007434158856,-0.13050989910272448,0.29441559575006804
ASTV,0.2424352671936304,-0.23111403249445975,-0.03293141410764904,-0.1823578461181644,-0.07134215499644515,0.008440596452396863,0.038075956512281975,1.0,-0.29332221136794523,0.3574778936667763,-0.21992208286980752,-0.20843903381889975,-0.01136698980717722,0.4225148796022487
MSTV,-0.1701343124564911,0.1270101288670332,0.017487821900050358,0.1902946586719822,0.41027036642727427,0.01616523864635212,0.11991121685173668,-0.29332221136794523,1.0,-0.2914050515917171,0.02880664859423178,0.4355629607305359,-0.03684902330248746,-0.09514267223937935
ALTV,0.21095542771025952,-0.2740550378507849,-0.01234540743297277,-0.22839887788072277,-0.18688163534353663,-0.004406215268570068,-0.07786471321323492,0.3574778936667763,-0.2914050515917171,1.0,-0.10747456817693343,-0.34696036105737615,0.036552461828110984,0.36570765053940896
MLTV,-0.003224548284617804,-0.10630819294049276,-0.006156744657622673,-0.04886230005517233,-0.1654935421546792,0.03436607749118299,-0.11399335030689825,-0.21992208286980752,0.02880664859423178,-0.10747456817693343,1.0,0.059031492242709496,0.11667202491465045,-0.1134450783100018
Width,-0.11837525518601848,0.2384223984114953,0.09713291707932116,0.10678665276495207,0.4097929685458607,0.04083111774867898,0.17524007434158856,-0.20843903381889975,0.4355629607305359,-0.34696036105737615,0.059031492242709496,1.0,0.08102515584609365,-0.06779943878820016
Tendency,0.23711182767334715,0.032399283348128166,-0.018409814744032464,-0.06709795005845512,-0.023838403148871413,-0.015407811095220143,-0.13050989910272448,-0.01136698980717722,-0.03684902330248746,0.036552461828110984,0.11667202491465045,0.08102515584609365,1.0,-0.10648129753849295
NSP,0.13200792468181302,-0.31711328238321906,0.07399703474169528,-0.18595348305920403,0.025179190906211502,0.06539938660999636,0.29441559575006804,0.4225148796022487,-0.09514267223937935,0.36570765053940896,-0.1134450783100018,-0.06779943878820016,-0.10648129753849295,1.0
