Age_08_04,KM,HP,Automatic,cc,Doors,Weight,Fuel_Type_Diesel,Fuel_Type_Petrol
62,59295,86,0,1300,5,1035,False,True
68,61568,110,0,1600,4,1035,False,True
40,38653,110,0,1600,5,1080,False,True
75,101855,110,0,1600,5,1070,False,True
22,35199,97,0,1400,3,1100,False,True
41,81106,69,0,1900,5,1140,True,False
62,61149,86,0,1300,5,1040,False,True
41,21651,97,0,1400,3,1025,False,True
62,82421,110,0,1600,3,1065,False,True
35,18000,110,0,1600,5,1075,False,True
77,128960,110,0,1600,5,1070,False,True
40,179860,90,0,2000,5,1205,True,False
42,38665,110,0,1600,5,1075,False,True
67,70552,110,0,1600,5,1075,False,True
54,174139,72,0,2000,4,1100,True,False
52,31000,97,0,1398,3,1025,False,True
31,16238,110,1,1600,5,1180,False,True
22,72215,90,0,2000,5,1255,True,False
15,13157,97,0,1400,4,1085,False,True
78,30964,110,1,1600,3,1080,False,True
72,126478,110,0,1600,4,1035,False,True
73,156169,86,0,1300,5,1035,False,True
79,207114,110,0,1600,5,1114,False,False
77,82103,86,0,1300,3,1015,False,True
80,93841,110,0,1600,5,1070,False,True
53,79800,110,0,1600,5,1075,False,True
6,3000,110,0,1600,5,1130,False,True
75,125400,110,0,1600,3,1050,False,True
77,90000,86,0,1300,3,1015,False,True
60,64914,110,0,1600,5,1070,False,True
58,25000,110,0,1600,5,1075,False,True
69,44826,110,0,1600,5,1075,False,True
75,109540,110,0,1600,5,1085,False,True
74,101773,110,0,1600,3,1050,False,True
41,22780,86,0,1300,5,1035,False,True
48,15000,97,0,1400,3,1025,False,True
80,58267,110,0,1600,5,1070,False,True
46,30806,97,0,1400,5,1060,False,True
52,31579,97,0,1400,3,1025,False,True
33,57711,90,0,2000,3,1165,True,False
63,102807,86,0,1300,5,1055,False,True
80,86109,110,0,1600,3,1055,False,True
66,94606,110,0,1600,3,1065,False,True
58,70560,110,0,1600,3,1050,False,True
62,25505,86,0,1300,5,1035,False,True
70,59017,107,1,1600,3,1080,False,True
78,72000,110,0,1600,4,1035,False,True
58,30634,110,0,1600,5,1075,False,True
64,72000,86,0,1300,3,1015,False,True
25,49163,110,1,1600,5,1165,False,True
49,53116,97,0,1400,3,1025,False,True
50,61672,110,0,1600,5,1075,False,True
42,38078,97,0,1400,3,1025,False,True
62,66082,110,0,1600,5,1070,False,True
4,1,116,0,2000,5,1480,True,False
20,23175,110,0,1600,3,1120,False,True
39,18500,110,0,1600,4,1030,False,True
67,149000,90,0,2000,5,1135,True,False
54,63135,110,0,1600,3,1050,False,True
67,135337,110,0,1600,5,1120,False,False
44,41499,110,0,1600,5,1103,False,False
63,89000,110,0,1600,5,1085,False,True
66,63881,86,0,1300,3,1015,False,True
73,68988,86,0,1300,5,1035,False,True
40,44830,110,0,1600,5,1075,False,True
73,56307,110,0,1600,3,1050,False,True
59,105000,86,0,1300,3,1015,False,True
20,36000,110,0,1600,5,1075,False,True
80,60476,110,0,1600,5,1114,False,True
35,43000,110,0,1600,3,1050,False,True
61,76700,86,0,1300,5,1035,False,True
76,191620,72,0,2000,5,1150,True,False
39,25062,110,0,1600,5,1080,False,True
9,1,110,0,1600,5,1075,False,True
80,65307,110,0,1600,3,1055,False,True
63,22178,86,0,1300,3,1015,False,True
50,83567,110,0,1600,5,1075,False,True
37,82743,110,0,1600,5,1121,False,False
49,77648,110,0,1600,4,1030,False,True
20,22588,97,0,1400,5,1110,False,True
59,22705,110,0,1600,5,1075,False,True
50,10210,97,0,1400,5,1065,False,True
71,134660,72,0,2000,5,1135,True,False
75,74567,86,0,1300,3,1015,False,True
61,123000,72,0,2000,5,1135,True,False
49,74656,69,0,1900,3,1105,True,False
39,98823,110,0,1600,5,1119,False,False
74,96000,110,0,1600,5,1085,False,True
60,28500,86,1,1300,3,1045,False,True
58,115715,110,0,1600,5,1070,False,True
48,89049,97,0,1400,5,1060,False,True
47,60348,110,0,1600,4,1030,False,True
25,31461,192,0,1800,3,1185,False,True
13,19988,110,0,1600,5,1130,False,True
80,74785,110,0,1600,5,1070,False,True
39,45713,97,0,1400,5,1085,False,True
35,41000,110,0,1600,5,1075,False,True
79,74093,110,0,1600,5,1075,False,True
39,43254,110,0,1600,5,1075,False,True
52,41700,97,0,1400,3,1025,False,True
63,46000,86,0,1300,5,1035,False,True
50,17619,110,0,1600,4,1030,False,True
13,33477,110,0,1600,5,1075,False,True
80,49580,110,0,1600,4,1035,False,True
35,32941,110,0,1600,5,1080,False,True
44,36066,110,0,1600,3,1040,False,True
58,133405,72,0,2000,5,1135,True,False
80,57000,86,0,1300,4,1000,False,True
68,62222,110,0,1600,5,1075,False,True
19,27821,97,0,1400,5,1110,False,True
53,90097,69,0,1900,5,1140,True,False
50,83106,110,0,1600,5,1075,False,True
63,109230,110,0,1600,3,1050,False,True
57,43000,110,0,1600,5,1075,False,True
65,45000,110,0,1600,5,1075,False,True
48,35142,110,0,1600,3,1055,False,True
68,37759,110,0,1600,5,1070,False,True
17,11999,110,0,1600,5,1130,False,True
61,55747,86,0,1300,3,1020,False,True
71,29000,86,1,1300,3,1045,False,True
54,48370,110,0,1600,5,1080,False,True
76,68000,110,0,1600,5,1075,False,True
80,76000,110,0,1600,3,1050,False,True
75,69320,110,0,1600,5,1070,False,True
52,35823,110,0,1600,5,1075,False,True
60,115191,110,0,1600,4,1079,False,False
60,36943,110,0,1600,5,1070,False,True
48,28656,97,0,1400,3,1085,False,True
60,47060,110,0,1600,4,1035,False,True
78,91399,110,0,1600,5,1070,False,True
61,37500,110,0,1600,5,1085,False,True
48,36005,97,0,1400,5,1065,False,True
19,29435,97,0,1400,3,1100,False,True
53,55500,110,0,1600,4,1035,False,True
54,84598,110,0,1600,5,1075,False,True
62,49258,110,0,1600,4,1035,False,True
50,99865,110,0,1600,4,1035,False,True
55,27500,97,0,1400,3,1025,False,True
54,39291,110,0,1600,3,1040,False,True
16,13000,110,0,1600,4,1105,False,True
64,144000,110,0,1600,3,1065,False,False
65,55000,86,0,1300,3,1015,False,True
68,57565,86,0,1300,5,1035,False,True
47,73403,110,0,1600,5,1075,False,True
55,137000,72,0,2000,5,1135,True,False
55,33230,110,0,1600,3,1050,False,True
79,100719,110,0,1600,5,1070,False,True
71,82700,110,0,1600,3,1050,False,True
55,77780,110,0,1600,3,1040,False,True
53,26624,97,0,1400,5,1060,False,True
53,47451,110,0,1600,3,1055,False,True
56,46500,86,0,1300,5,1035,False,True
65,51000,86,0,1300,3,1015,False,True
37,38812,97,0,1400,3,1025,False,True
56,48731,110,0,1600,3,1055,False,True
55,30461,86,0,1300,5,1050,False,True
80,92255,107,1,1600,5,1105,False,True
63,74747,110,0,1600,5,1075,False,True
62,83908,110,0,1600,5,1070,False,True
57,88480,110,0,1600,3,1050,False,True
38,26262,110,0,1600,5,1075,False,True
57,101791,72,0,2000,3,1115,True,False
17,36012,110,0,1600,5,1130,False,True
8,5000,110,0,1600,5,1130,False,True
37,44757,97,0,1400,3,1025,False,True
77,52900,110,0,1600,4,1075,False,True
75,91082,110,0,1600,3,1050,False,True
42,42560,110,0,1600,5,1080,False,True
54,63123,110,0,1600,4,1035,False,True
50,62280,97,0,1400,5,1060,False,True
64,74193,110,0,1600,3,1050,False,True
46,69574,97,0,1400,5,1065,False,True
59,60708,86,0,1300,5,1045,False,True
44,60500,110,0,1600,5,1075,False,True
19,51884,97,0,1400,3,1100,False,True
80,92830,86,0,1300,3,1015,False,True
69,67092,72,0,2000,3,1115,True,False
65,67003,110,0,1600,4,1035,False,True
62,183500,72,0,2000,5,1140,True,False
71,65021,72,0,2000,3,1115,True,False
67,64613,110,0,1600,5,1085,False,True
79,86000,86,0,1300,5,1040,False,True
68,64000,110,0,1600,5,1075,False,True
67,72880,86,0,1332,3,1015,False,True
36,43427,110,0,1600,3,1040,False,True
39,45081,110,0,1600,5,1075,False,True
65,78076,86,0,1300,3,1015,False,True
73,59240,110,0,1600,3,1050,False,True
56,43700,86,0,1300,3,1025,False,True
58,69022,86,0,1300,5,1035,False,True
44,49332,110,0,1600,5,1080,False,True
33,33591,110,0,1600,5,1075,False,True
43,27301,110,0,1600,3,1040,False,True
70,124743,110,0,1600,3,1050,False,True
30,38950,110,0,1600,5,1130,False,True
54,103454,110,0,1600,5,1075,False,True
57,118833,110,0,1600,3,1065,False,True
79,60142,110,0,1600,3,1050,False,True
64,120400,110,0,1600,5,1090,False,True
80,71500,110,0,1600,4,1035,False,True
54,62987,110,0,1600,5,1080,False,True
71,83047,86,1,1300,3,1045,False,True
65,45681,110,0,1600,3,1050,False,True
49,41636,110,0,1600,5,1105,False,True
69,42800,110,0,1600,3,1050,False,True
61,49000,110,0,1600,3,1050,False,True
65,53053,110,0,1600,5,1075,False,True
40,32532,110,0,1600,3,1040,False,True
49,80320,110,1,1600,3,1070,False,True
65,97173,86,0,1300,3,1015,False,True
