,count,mean,std,min,25%,50%,75%,max
Balance,3999.0,73601.32758189547,100775.66495826811,0.0,18527.5,43097.0,92404.0,1704838.0
Qual_miles,3999.0,144.11452863215803,773.6638043928289,0.0,0.0,0.0,0.0,11148.0
cc1_miles,3999.0,2.0595148787196798,1.376919321574522,1.0,1.0,1.0,3.0,5.0
cc2_miles,3999.0,1.0145036259064766,0.14765025473468615,1.0,1.0,1.0,1.0,3.0
cc3_miles,3999.0,1.0122530632658164,0.19524077303350626,1.0,1.0,1.0,1.0,5.0
Bonus_miles,3999.0,17144.84621155289,24150.967826219232,0.0,1250.0,7171.0,23800.5,263685.0
Bonus_trans,3999.0,11.60190047511878,9.60381033629804,0.0,3.0,12.0,17.0,86.0
Flight_miles_12mo,3999.0,460.05576394098523,1400.2091713393793,0.0,0.0,0.0,311.0,30817.0
Flight_trans_12,3999.0,1.3735933983495874,3.7931724116085896,0.0,0.0,0.0,1.0,53.0
Days_since_enroll,3999.0,4118.559389847462,2065.1345402287598,2.0,2330.0,4096.0,5790.5,8296.0
Award?,3999.0,0.3703425856464116,0.4829568110142652,0.0,0.0,0.0,1.0,1.0
